date,macro_score,equity_ratio,regime,choppy_mode,n_broad_targets,n_sector_targets
2024-01-02,0.0,0.5,neutral,False,0,0
2024-01-03,0.0,0.5,neutral,False,0,0
2024-01-04,0.0,0.5,neutral,False,0,0
2024-01-05,0.0,0.5,neutral,False,0,0
2024-01-08,0.0,0.5,neutral,False,0,0
2024-01-09,0.0,0.5,neutral,False,0,0
2024-01-10,0.0,0.5,neutral,False,0,0
2024-01-11,0.0,0.5,neutral,False,0,0
2024-01-12,0.0,0.5,neutral,False,0,0
2024-01-15,0.0,0.5,neutral,False,0,0
2024-01-16,0.0,0.5,neutral,False,0,0
2024-01-17,0.0,0.5,neutral,False,0,0
2024-01-18,0.0,0.5,neutral,False,0,0
2024-01-19,0.0,0.5,neutral,False,0,0
2024-01-22,0.0,0.5,neutral,False,0,0
2024-01-23,0.0,0.5,neutral,False,0,0
2024-01-24,0.0,0.5,neutral,False,0,0
2024-01-25,0.0,0.5,neutral,False,0,0
2024-01-26,0.0,0.5,neutral,False,0,0
2024-01-29,0.0,0.5,neutral,False,0,0
2024-01-30,0.0,0.5,neutral,False,0,0
2024-01-31,0.0,0.5,neutral,False,0,0
2024-02-01,0.0,0.5,neutral,False,0,0
2024-02-02,0.0,0.5,neutral,False,0,0
2024-02-05,0.0,0.5,neutral,False,0,0
2024-02-06,0.0,0.5,neutral,False,0,0
2024-02-07,0.0,0.5,neutral,False,0,0
2024-02-08,0.0,0.5,neutral,False,0,0
2024-02-19,0.0,0.5,neutral,False,0,0
2024-02-20,0.0,0.5,neutral,False,0,0
2024-02-21,0.0,0.5,neutral,False,0,0
2024-02-22,0.0,0.5,neutral,False,0,0
2024-02-23,0.0,0.5,neutral,False,0,0
2024-02-26,0.0,0.5,neutral,False,0,0
2024-02-27,0.0,0.5,neutral,False,0,0
2024-02-28,0.0,0.5,neutral,False,0,0
2024-02-29,0.0,0.5,neutral,False,0,0
2024-03-01,0.0,0.5,neutral,False,0,0
2024-03-04,0.0,0.5,neutral,False,0,0
2024-03-05,4.904371009819583,0.581,bullish,False,9,0
2024-03-06,7.047873925928926,0.6154,bullish,False,10,0
2024-03-07,4.995157873706621,0.5825,bullish,False,9,0
2024-03-08,5.530379045455349,0.5911,bullish,False,9,0
2024-03-11,8.318714933675661,0.6352,bullish,False,10,0
2024-03-12,7.507858104788396,0.6226,bullish,False,9,1
2024-03-13,4.677233150919695,0.5773,bullish,False,9,1
2024-03-14,3.2738869398255277,0.5543,bullish,False,9,1
2024-03-15,2.5553090451676215,0.5425,bullish,False,8,1
2024-03-18,2.9537904181268186,0.5491,bullish,False,9,0
2024-03-19,1.0298495720059917,0.5172,bullish,False,8,0
2024-03-20,1.4993736553494563,0.525,bullish,False,7,0
